index    1   5000001   47     3
  1 oligomer size:    30
  2 oligomer size:     3
  3 oligomer size:     4
index    2   5000001   25     8
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     5
  4 oligomer size:    12
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     2
index    3   5000001   28     7
  1 oligomer size:     4
  2 oligomer size:     3
  3 oligomer size:     7
  4 oligomer size:     7
  5 oligomer size:     3
  6 oligomer size:     4
  7 oligomer size:     2
index    4   5000001   30     5
  1 oligomer size:     4
  2 oligomer size:    14
  3 oligomer size:     5
  4 oligomer size:     3
  5 oligomer size:     2
index    5   5000001   32     8
  1 oligomer size:     2
  2 oligomer size:    13
  3 oligomer size:     5
  4 oligomer size:     4
  5 oligomer size:     3
  6 oligomer size:     3
  7 oligomer size:     3
  8 oligomer size:     2
index    6   5000001   27     7
  1 oligomer size:     9
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     7
  5 oligomer size:     2
  6 oligomer size:     5
  7 oligomer size:     2
index    7   5000001   16     7
  1 oligomer size:     4
  2 oligomer size:     6
  3 oligomer size:     3
  4 oligomer size:     2
  5 oligomer size:     3
  6 oligomer size:     2
  7 oligomer size:     2
index    8   5000001   45     6
  1 oligomer size:    19
  2 oligomer size:    10
  3 oligomer size:     2
  4 oligomer size:     4
  5 oligomer size:     5
  6 oligomer size:     2
index    9   5000001   16     4
  1 oligomer size:    12
  2 oligomer size:     3
  3 oligomer size:     2
  4 oligomer size:     2
index   10   5000001   30     6
  1 oligomer size:     8
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     3
  5 oligomer size:    10
  6 oligomer size:     4
index   11   5000001   26     9
  1 oligomer size:     2
  2 oligomer size:     6
  3 oligomer size:     2
  4 oligomer size:     6
  5 oligomer size:     6
  6 oligomer size:     2
  7 oligomer size:     3
  8 oligomer size:     2
  9 oligomer size:     2
index   12   5000001   25     9
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     8
  4 oligomer size:     5
  5 oligomer size:     2
  6 oligomer size:     4
  7 oligomer size:     3
  8 oligomer size:     3
  9 oligomer size:     3
index   13   5000001   13     9
  1 oligomer size:     3
  2 oligomer size:     4
  3 oligomer size:     2
  4 oligomer size:     3
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     2
  9 oligomer size:     2
index   14   5000001   19     6
  1 oligomer size:     9
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     4
  5 oligomer size:     4
  6 oligomer size:     2
index   15   5000001   32     8
  1 oligomer size:    12
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     8
  5 oligomer size:     4
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     2
index   16   5000001   29     5
  1 oligomer size:     7
  2 oligomer size:     3
  3 oligomer size:     6
  4 oligomer size:    10
  5 oligomer size:     3
index   17   5000001   55     5
  1 oligomer size:    22
  2 oligomer size:    13
  3 oligomer size:     2
  4 oligomer size:     8
  5 oligomer size:     2
index   18   5000001   24     5
  1 oligomer size:     5
  2 oligomer size:     7
  3 oligomer size:     3
  4 oligomer size:     6
  5 oligomer size:     4
index   19   5000001   25     6
  1 oligomer size:     3
  2 oligomer size:    14
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     4
index   20   5000001   38     8
  1 oligomer size:    19
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     5
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     2
