index    1   5000001   19     8
  1 oligomer size:     2
  2 oligomer size:     3
  3 oligomer size:     5
  4 oligomer size:     2
  5 oligomer size:     3
  6 oligomer size:     5
  7 oligomer size:     3
  8 oligomer size:     2
index    2   5000001   15     4
  1 oligomer size:     6
  2 oligomer size:     6
  3 oligomer size:     2
  4 oligomer size:     2
index    3   5000001   16     9
  1 oligomer size:     5
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     4
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     2
  9 oligomer size:     2
index    4   5000001   29     5
  1 oligomer size:     2
  2 oligomer size:    17
  3 oligomer size:     2
  4 oligomer size:     3
  5 oligomer size:     2
index    5   5000001   42     6
  1 oligomer size:    18
  2 oligomer size:     5
  3 oligomer size:     4
  4 oligomer size:     2
  5 oligomer size:     5
  6 oligomer size:     2
index    6   5000001   24     6
  1 oligomer size:    11
  2 oligomer size:     6
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
index    7   5000001    3     3
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     2
index    8   5000001   10     9
  1 oligomer size:     2
  2 oligomer size:     3
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     2
  9 oligomer size:     2
index    9   5000001   36    10
  1 oligomer size:     2
  2 oligomer size:     6
  3 oligomer size:     7
  4 oligomer size:     9
  5 oligomer size:     3
  6 oligomer size:     4
  7 oligomer size:     2
  8 oligomer size:     3
  9 oligomer size:     4
 10 oligomer size:     2
index   10   5000001   22     6
  1 oligomer size:     6
  2 oligomer size:     2
  3 oligomer size:     7
  4 oligomer size:     3
  5 oligomer size:     4
  6 oligomer size:     2
index   11   5000001   20     6
  1 oligomer size:     2
  2 oligomer size:     6
  3 oligomer size:     6
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     5
index   12   5000001   20     4
  1 oligomer size:    14
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     2
index   13   5000001   36     6
  1 oligomer size:     9
  2 oligomer size:     5
  3 oligomer size:     2
  4 oligomer size:     6
  5 oligomer size:    12
  6 oligomer size:     2
index   14   5000001   56     4
  1 oligomer size:    19
  2 oligomer size:     6
  3 oligomer size:    18
  4 oligomer size:     2
index   15   5000001   17     3
  1 oligomer size:    13
  2 oligomer size:     2
  3 oligomer size:     3
index   16   5000001   11     5
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     6
  4 oligomer size:     3
  5 oligomer size:     2
index   17   5000001   23    14
  1 oligomer size:     2
  2 oligomer size:     3
  3 oligomer size:     3
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
  8 oligomer size:     3
  9 oligomer size:     2
 10 oligomer size:     6
 11 oligomer size:     2
 12 oligomer size:     2
 13 oligomer size:     2
 14 oligomer size:     2
index   18   5000001   25     6
  1 oligomer size:     3
  2 oligomer size:     7
  3 oligomer size:     4
  4 oligomer size:     4
  5 oligomer size:     7
  6 oligomer size:     2
index   19   5000001   21     4
  1 oligomer size:     7
  2 oligomer size:    11
  3 oligomer size:     2
  4 oligomer size:     3
index   20   5000001   18    10
  1 oligomer size:     4
  2 oligomer size:     4
  3 oligomer size:     2
  4 oligomer size:     4
  5 oligomer size:     2
  6 oligomer size:     3
  7 oligomer size:     2
  8 oligomer size:     2
  9 oligomer size:     2
 10 oligomer size:     2
