index    1   5000001   19     7
  1 oligomer size:     2
  2 oligomer size:     5
  3 oligomer size:     8
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
index    2   5000001   11     7
  1 oligomer size:     2
  2 oligomer size:     6
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     2
index    3   5000001   13     9
  1 oligomer size:     4
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
  7 oligomer size:     4
  8 oligomer size:     2
  9 oligomer size:     2
index    4   5000001   17     4
  1 oligomer size:    11
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     2
index    5   5000001    9     5
  1 oligomer size:     5
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     3
index    6   5000001    5     4
  1 oligomer size:     2
  2 oligomer size:     3
  3 oligomer size:     2
  4 oligomer size:     2
index    7   5000001   14     7
  1 oligomer size:     2
  2 oligomer size:     3
  3 oligomer size:     2
  4 oligomer size:     6
  5 oligomer size:     2
  6 oligomer size:     3
  7 oligomer size:     3
index    8   5000001   18     6
  1 oligomer size:     5
  2 oligomer size:     3
  3 oligomer size:     7
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
index    9   5000001   12     5
  1 oligomer size:     3
  2 oligomer size:     2
  3 oligomer size:     6
  4 oligomer size:     3
  5 oligomer size:     2
index   10   5000001    5     4
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     2
index   11   5000001   31     4
  1 oligomer size:    12
  2 oligomer size:     6
  3 oligomer size:     9
  4 oligomer size:     2
index   12   5000001    5     4
  1 oligomer size:     3
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     2
index   13   5000001   10     5
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     6
  4 oligomer size:     2
  5 oligomer size:     2
index   14   5000001    8     4
  1 oligomer size:     3
  2 oligomer size:     2
  3 oligomer size:     4
  4 oligomer size:     2
index   15   5000001   32     5
  1 oligomer size:     8
  2 oligomer size:     4
  3 oligomer size:    14
  4 oligomer size:     2
  5 oligomer size:     2
index   16   5000001   14     4
  1 oligomer size:     3
  2 oligomer size:     5
  3 oligomer size:     6
  4 oligomer size:     2
index   17   5000001   13     5
  1 oligomer size:     9
  2 oligomer size:     2
  3 oligomer size:     2
  4 oligomer size:     2
  5 oligomer size:     2
index   18   5000001   19     5
  1 oligomer size:     8
  2 oligomer size:     4
  3 oligomer size:     3
  4 oligomer size:     4
  5 oligomer size:     3
index   19   5000001    6     5
  1 oligomer size:     2
  2 oligomer size:     2
  3 oligomer size:     3
  4 oligomer size:     2
  5 oligomer size:     2
index   20   5000001   11     6
  1 oligomer size:     2
  2 oligomer size:     5
  3 oligomer size:     3
  4 oligomer size:     2
  5 oligomer size:     2
  6 oligomer size:     2
